,close,max,min,year,ticker
0,26.71,31.99,23.9,2010,CMIG4
1,33.27,33.55,25.46,2011,CMIG4
2,22.6,49.5,21.85,2012,CMIG4
3,14.01,26.0,14.0,2013,CMIG4
4,13.14,19.96,12.06,2014,CMIG4
5,6.13,16.08,5.76,2015,CMIG4
6,7.71,9.97,4.1,2016,CMIG4
7,6.87,12.04,5.14,2017,CMIG4
8,13.86,13.87,6.46,2018,CMIG4
9,13.79,15.74,12.2,2019,CMIG4
10,14.56,16.21,7.54,2020,CMIG4
11,13.11,15.42,11.09,2021,CMIG4
12,11.14,15.65,9.94,2022,CMIG4
13,11.48,13.63,10.19,2023,CMIG4
14,12.59,13.34,11.08,2024,CMIG4
15,20.75,24.88,18.0,2010,CMIG3
16,27.3,27.3,20.0,2011,CMIG3
17,21.9,42.49,21.1,2012,CMIG3
18,14.2,25.4,14.11,2013,CMIG3
19,13.8,20.8,12.54,2014,CMIG3
20,6.44,16.26,6.0,2015,CMIG3
21,7.88,10.03,4.39,2016,CMIG3
22,6.41,14.7,6.0,2017,CMIG3
23,15.03,15.03,5.95,2018,CMIG3
24,15.59,19.39,13.69,2019,CMIG3
25,16.4,17.96,7.47,2020,CMIG3
26,18.52,18.99,13.21,2021,CMIG3
27,16.15,21.0,12.6,2022,CMIG3
28,15.13,21.1,14.66,2023,CMIG3
29,14.7,15.76,13.1,2024,CMIG3
30,21.8,74.49,21.1,2012,TAEE11
31,18.2,23.84,17.75,2013,TAEE11
32,18.84,24.0,16.61,2014,TAEE11
33,16.75,22.3,15.8,2015,TAEE11
34,20.74,26.22,15.05,2016,TAEE11
35,21.34,24.91,19.64,2017,TAEE11
36,23.6,24.29,17.95,2018,TAEE11
37,31.18,31.22,23.54,2019,TAEE11
38,33.33,34.37,24.0,2020,TAEE11
39,36.37,42.68,29.82,2021,TAEE11
40,34.67,46.07,32.51,2022,TAEE11
41,38.38,38.46,33.24,2023,TAEE11
42,35.25,38.62,34.42,2024,TAEE11
43,7.15,10.02,6.73,2017,TAEE3
44,8.47,9.0,6.0,2018,TAEE3
45,10.28,10.65,8.4,2019,TAEE3
46,11.2,11.74,8.0,2020,TAEE3
47,12.12,14.5,9.95,2021,TAEE3
48,11.63,15.33,10.79,2022,TAEE3
49,12.8,12.97,11.03,2023,TAEE3
50,11.7,12.85,11.41,2024,TAEE3
51,6.8,12.0,6.57,2017,TAEE4
52,7.6,8.01,5.99,2018,TAEE4
53,10.5,10.62,7.45,2019,TAEE4
54,11.19,11.47,8.01,2020,TAEE4
55,12.18,14.97,9.96,2021,TAEE4
56,11.65,15.4,10.9,2022,TAEE4
57,12.83,12.87,11.12,2023,TAEE4
58,11.87,12.92,11.52,2024,TAEE4
59,41.5,44.67,32.4,2010,CPLE6
60,38.9,46.71,31.82,2011,CPLE6
61,31.7,48.29,25.67,2012,CPLE6
62,30.53,37.33,24.6,2013,CPLE6
63,35.9,40.89,23.38,2014,CPLE6
64,24.3,37.09,23.29,2015,CPLE6
65,27.36,37.82,17.35,2016,CPLE6
66,24.95,35.79,22.05,2017,CPLE6
67,30.55,34.2,19.1,2018,CPLE6
68,69.07,70.09,30.17,2019,CPLE6
69,74.94,78.71,42.21,2020,CPLE6
70,6.44,75.71,5.73,2021,CPLE6
71,7.91,9.12,6.02,2022,CPLE6
72,10.36,10.44,6.55,2023,CPLE6
73,9.1,10.55,9.0,2024,CPLE6
74,38.0,40.0,30.0,2010,CPLE3
75,33.02,42.0,28.32,2011,CPLE3
76,25.2,40.36,20.8,2012,CPLE3
77,22.3,30.5,19.45,2013,CPLE3
78,24.9,28.18,17.02,2014,CPLE3
79,16.0,25.62,15.4,2015,CPLE3
80,19.08,25.0,11.8,2016,CPLE3
81,21.4,28.79,18.1,2017,CPLE3
82,29.8,32.65,17.3,2018,CPLE3
83,69.1,70.35,29.15,2019,CPLE3
84,70.0,86.03,44.72,2020,CPLE3
85,6.12,70.29,5.21,2021,CPLE3
86,6.87,8.36,5.56,2022,CPLE3
87,9.49,9.58,5.83,2023,CPLE3
88,8.34,9.54,8.07,2024,CPLE3
89,28.7,33.9,20.95,2010,CSMG3
90,33.4,34.87,26.09,2011,CSMG3
91,43.75,53.1,33.03,2012,CSMG3
92,37.2,51.65,27.66,2013,CSMG3
93,25.18,42.18,21.22,2014,CSMG3
94,15.5,27.08,8.51,2015,CSMG3
95,36.5,36.5,10.12,2016,CSMG3
96,43.39,55.47,30.79,2017,CSMG3
97,61.53,61.55,38.29,2018,CSMG3
98,67.99,74.52,52.88,2019,CSMG3
99,16.4,72.6,14.77,2020,CSMG3
100,12.71,18.1,12.36,2021,CSMG3
101,15.69,16.27,11.09,2022,CSMG3
102,20.48,21.4,13.78,2023,CSMG3
103,21.57,22.89,19.79,2024,CSMG3
104,59.9,60.69,51.18,2017,SAPR11
105,61.5,61.5,40.79,2018,SAPR11
106,101.42,102.23,59.22,2019,SAPR11
107,26.0,111.72,20.4,2020,SAPR11
108,19.17,26.0,18.11,2021,SAPR11
109,18.06,21.24,16.28,2022,SAPR11
110,29.19,29.72,16.43,2023,SAPR11
111,25.94,29.44,24.45,2024,SAPR11
112,8.19,8.2,8.19,2013,SAPR3
113,7.88,7.88,7.87,2014,SAPR3
114,4.0,7.84,3.51,2015,SAPR3
115,6.02,8.0,3.18,2016,SAPR3
