,ticker,setor,preco_atual,min_52_sem,max_52_sem,amplitude_52_sem,score,preco_teto,preco_teto_ajustado,distancia_precos,graham
0,TAEE11,energia,34.62,33.24,38.62,5.38,0.33,36.8,36.8,-2.1799999999999997,42.49
0,BBDC4,banco,13.37,13.18,17.74,4.56,-0.7,18.18,15.46,-2.0900000000000016,26.12
0,BRSR5,banco,15.01,14.05,19.99,5.94,-0.84,21.49,17.02,-2.01,24.63
0,BRSR6,banco,11.14,10.4,15.73,5.33,-1.0,16.71,13.06,-1.92,24.63
0,BBDC3,banco,11.95,11.94,15.77,3.83,-0.86,16.82,13.86,-1.9100000000000001,26.12
0,BRSR3,banco,11.57,11.22,15.43,4.21,-1.0,17.35,13.33,-1.7599999999999998,24.63
0,TAEE3,energia,11.53,11.03,12.97,1.94,0.33,12.26,12.26,-0.7300000000000004,14.16
0,TAEE4,energia,11.65,11.12,12.92,1.8,0.33,12.32,12.32,-0.6699999999999999,14.16
0,SANB11,banco,28.5,25.56,32.48,6.92,-1.0,42.25,29.02,-0.5199999999999996,50.4
0,SANB3,banco,13.44,12.06,15.4,3.34,-1.0,20.16,13.73,-0.2900000000000009,25.2
0,SANB4,banco,15.06,13.52,17.03,3.51,-1.0,21.79,15.28,-0.21999999999999886,25.2
